id,roll_no,name,age
1,1001,Sachin,20
2,1002,Rahul,21
3,1003,Arvind,20
4,1004,Lucky,20
5,1006,Lucky,20
6,1007,Shyam,20
7,1001,Student_1,15
8,1002,Student_2,16
9,1003,Student_3,17
10,1004,Student_4,18
11,1005,Student_5,19
12,1006,Student_6,15
13,1007,Student_7,16
14,1008,Student_8,17
15,1009,Student_9,18
16,1010,Student_10,19
17,1011,Student_11,15
18,1012,Student_12,16
19,1013,Student_13,17
20,1014,Student_14,18
21,1015,Student_15,19
22,1016,Student_16,15
23,1017,Student_17,16
24,1018,Student_18,17
25,1019,Student_19,18
26,1020,Student_20,19
27,1021,Student_21,15
28,1022,Student_22,16
29,1023,Student_23,17
30,1024,Student_24,18
31,1025,Student_25,19
32,1026,Student_26,15
33,1027,Student_27,16
34,1028,Student_28,17
35,1029,Student_29,18
36,1030,Student_30,19
37,1031,Student_31,15
38,1032,Student_32,16
39,1033,Student_33,17
40,1034,Student_34,18
41,1035,Student_35,19
42,1036,Student_36,15
43,1037,Student_37,16
44,1038,Student_38,17
45,1039,Student_39,18
46,1040,Student_40,19
47,1041,Student_41,15
48,1042,Student_42,16
49,1043,Student_43,17
50,1044,Student_44,18
51,1045,Student_45,19
52,1046,Student_46,15
53,1047,Student_47,16
54,1048,Student_48,17
55,1049,Student_49,18
56,1050,Student_50,19
57,1051,Student_51,15
58,1052,Student_52,16
59,1053,Student_53,17
60,1054,Student_54,18
61,1055,Student_55,19
62,1056,Student_56,15
63,1057,Student_57,16
64,1058,Student_58,17
65,1059,Student_59,18
66,1060,Student_60,19
67,1061,Student_61,15
68,1062,Student_62,16
69,1063,Student_63,17
70,1064,Student_64,18
71,1065,Student_65,19
72,1066,Student_66,15
73,1067,Student_67,16
74,1068,Student_68,17
75,1069,Student_69,18
76,1070,Student_70,19
77,1071,Student_71,15
78,1072,Student_72,16
79,1073,Student_73,17
80,1074,Student_74,18
81,1075,Student_75,19
82,1076,Student_76,15
83,1077,Student_77,16
84,1078,Student_78,17
85,1079,Student_79,18
86,1080,Student_80,19
87,1081,Student_81,15
88,1082,Student_82,16
89,1083,Student_83,17
90,1084,Student_84,18
91,1085,Student_85,19
92,1086,Student_86,15
93,1087,Student_87,16
94,1088,Student_88,17
95,1089,Student_89,18
96,1090,Student_90,19
97,1091,Student_91,15
98,1092,Student_92,16
99,1093,Student_93,17
100,1094,Student_94,18
101,1095,Student_95,19
102,1096,Student_96,15
103,1097,Student_97,16
104,1098,Student_98,17
105,1099,Student_99,18
106,1100,Student_100,19
107,1001,Student_1,15
108,1002,Student_2,16
109,1003,Student_3,17
110,1004,Student_4,18
111,1005,Student_5,19
112,1006,Student_6,15
113,1007,Student_7,16
114,1008,Student_8,17
115,1009,Student_9,18
116,1010,Student_10,19
117,1011,Student_11,15
118,1012,Student_12,16
119,1013,Student_13,17
120,1014,Student_14,18
121,1015,Student_15,19
122,1016,Student_16,15
123,1017,Student_17,16
124,1018,Student_18,17
125,1019,Student_19,18
126,1020,Student_20,19
127,1021,Student_21,15
128,1022,Student_22,16
129,1023,Student_23,17
130,1024,Student_24,18
131,1025,Student_25,19
132,1026,Student_26,15
133,1027,Student_27,16
134,1028,Student_28,17
135,1029,Student_29,18
136,1030,Student_30,19
137,1031,Student_31,15
138,1032,Student_32,16
139,1033,Student_33,17
140,1034,Student_34,18
141,1035,Student_35,19
142,1036,Student_36,15
143,1037,Student_37,16
144,1038,Student_38,17
145,1039,Student_39,18
146,1040,Student_40,19
147,1041,Student_41,15
148,1042,Student_42,16
149,1043,Student_43,17
150,1044,Student_44,18
151,1045,Student_45,19
152,1046,Student_46,15
153,1047,Student_47,16
154,1048,Student_48,17
155,1049,Student_49,18
156,1050,Student_50,19
157,1051,Student_51,15
158,1052,Student_52,16
159,1053,Student_53,17
160,1054,Student_54,18
161,1055,Student_55,19
162,1056,Student_56,15
163,1057,Student_57,16
164,1058,Student_58,17
165,1059,Student_59,18
166,1060,Student_60,19
167,1061,Student_61,15
168,1062,Student_62,16
169,1063,Student_63,17
170,1064,Student_64,18
171,1065,Student_65,19
172,1066,Student_66,15
173,1067,Student_67,16
174,1068,Student_68,17
175,1069,Student_69,18
176,1070,Student_70,19
177,1071,Student_71,15
178,1072,Student_72,16
179,1073,Student_73,17
180,1074,Student_74,18
181,1075,Student_75,19
182,1076,Student_76,15
183,1077,Student_77,16
184,1078,Student_78,17
185,1079,Student_79,18
186,1080,Student_80,19
187,1081,Student_81,15
188,1082,Student_82,16
189,1083,Student_83,17
190,1084,Student_84,18
191,1085,Student_85,19
192,1086,Student_86,15
193,1087,Student_87,16
194,1088,Student_88,17
195,1089,Student_89,18
196,1090,Student_90,19
197,1091,Student_91,15
198,1092,Student_92,16
199,1093,Student_93,17
200,1094,Student_94,18
201,1095,Student_95,19
202,1096,Student_96,15
203,1097,Student_97,16
204,1098,Student_98,17
205,1099,Student_99,18
206,1100,Student_100,19
